contributors_enabled,created_at,default_profile,default_profile_image,description,favourites_count,followers_count,friends_count,geo_enabled,lang,listed_count,location,name,profile_background_color,profile_background_image_url,profile_background_tile,profile_banner_url,profile_image_url,profile_link_color,profile_sidebar_fill_color,profile_text_color,protected,screen_name,status_created_at,status_hashtags,status_lang,statuses_count,text,time_zone,url,user_id,user_mentions,verified,follows_subject
False,Sat Mar 28 17:58:01 +0000 2015,True,False,"There are only Boys & Girls nothing else, keep taking the pills! ISLAM  is a murderous ideology not a race. P.C.  and liberalism is a cancer.",5025,136,89,False,en-gb,4,Way on up North,Mikael Muller,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,False,https://pbs.twimg.com/profile_banners/3124407059/1472325403,http://pbs.twimg.com/profile_images/795310789934596096/iM8V_osR_normal.jpg,1DA1F2,DDEEF6,333333,False,bongo4us,Thu Feb 08 18:39:34 +0000 2018,[],en,9201,RT @Arron_banks: Important to note a 15 year forecast is a complete bunch of bollocks with a ribbon on it! https://t.co/ZsMCrufswf,,,3124407059,"[User(ID=3390728889, ScreenName=Arron_banks)]",False,2875501614
False,Sat Apr 01 14:45:03 +0000 2017,True,False,"Freedom of expression,religion and integration of new personality Bibel solution Qualifikation positivStatus futureCitzienship,Enjoy a relationship with Jesus",11093,259,2414,True,de,4,Sankt Kanzian am Klopeiner See,Joseph Jonas JOHN,F5F8FA,,False,https://pbs.twimg.com/profile_banners/848184438534135809/1495842683,http://pbs.twimg.com/profile_images/872845689415499780/3Z49055K_normal.jpg,1DA1F2,DDEEF6,333333,False,JosephJonasJoh1,Thu Feb 08 19:13:46 +0000 2018,[],en,2705,"@sebastiankurz @campaignforleo Jesus said:I am the bread of life,comes to me will not get hungry at all,whoever exe… https://t.co/m2oXlKNy6G",,,848184438534135809,"[User(ID=46623193, ScreenName=sebastiankurz), User(ID=229466877, ScreenName=campaignforleo)]",False,2875501614
False,Tue Aug 08 13:35:03 +0000 2017,True,False,Ukip MEP for the East Midlands,12,275,63,False,en,11,,JonathanBullockMEP,F5F8FA,,False,https://pbs.twimg.com/profile_banners/894914855467180037/1502199528,http://pbs.twimg.com/profile_images/894915712405450752/QTT0szOo_normal.jpg,1DA1F2,DDEEF6,333333,False,JonathanMEP,Wed Feb 07 23:10:38 +0000 2018,[],en,208,RT @Nigel_Farage: The time has come for @theresa_may to stand up to Brussels once and for all. It’s now or never for her. Read my piece for…,,,894914855467180037,"[User(ID=19017675, ScreenName=Nigel_Farage), User(ID=747807250819981312, ScreenName=theresa_may)]",False,2875501614
False,Tue May 10 12:47:36 +0000 2011,True,False,"Animal welfare, wildlife conservation, atheist,  Brexit.",32102,212,1104,True,en,0,United Kingdom,Nicky Carp,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,False,,http://pbs.twimg.com/profile_images/831159649869168641/l702nl2e_normal.jpg,1DA1F2,DDEEF6,333333,True,ctlmonkton,NaN,NaN,NaN,13219,NaN,London,,296243095,NaN,False,2875501614
False,Sat Dec 03 07:51:29 +0000 2016,True,False,"#IAmBritish -A diverse political movement STANDING UP for #British values, #MarchForTrumpUk. DONATE HERE:- https://t.co/5b8ud2RgAs",1622,20833,13665,False,en,109,,I Am British 🇬🇧,F5F8FA,,False,https://pbs.twimg.com/profile_banners/804956206179766272/1515785120,http://pbs.twimg.com/profile_images/881194590807748609/nCRbVZmv_normal.jpg,1DA1F2,DDEEF6,333333,False,IAmBritishreal,Wed Feb 07 14:23:15 +0000 2018,"[Hashtag(Text='FreeEarth'), Hashtag(Text='homeless'), Hashtag(Text='youcanmakeadifference')]",en,1881,RT @realfreeearth: Help the homeless. You can make a Difference. RT if you support. #FreeEarth 🌍 #homeless #youcanmakeadifference https://t…,Pacific Time (US & Canada),https://t.co/XJBCS4lSlt,804956206179766272,"[User(ID=751824403982319616, ScreenName=realfreeearth)]",False,2875501614
False,Tue Jul 11 22:18:20 +0000 2017,True,False,,384,37,212,False,en,0,,Bratt Morgan,F5F8FA,,False,,http://pbs.twimg.com/profile_images/958317093107232769/NOUPsejN_normal.jpg,1DA1F2,DDEEF6,333333,False,BrattMorgam,Tue Jan 30 12:33:16 +0000 2018,[Hashtag(Text='NewProfilePic')],und,90,#NewProfilePic https://t.co/1dK3m5kO9Y,,,884899685646913537,[],False,2875501614
False,Thu Oct 06 00:19:46 +0000 2016,True,False,A right deplorable character..,8959,100,366,False,en,2,"North East, England",Daz Maddison,F5F8FA,,False,,http://pbs.twimg.com/profile_images/885593784540692484/9OuHlD2o_normal.jpg,1DA1F2,DDEEF6,333333,False,DazMaddison,Thu Feb 08 00:19:53 +0000 2018,[],en,1717,@__ice9 @jbgbros @washingtonpost Could it be because India has a caste system seperaring people of different intelligence levels?,,,783824029123829761,"[User(ID=824524105831612416, ScreenName=__ice9), User(ID=457170412, ScreenName=jbgbros), User(ID=2467791, ScreenName=washingtonpost)]",False,2875501614
False,Wed Jun 29 13:31:49 +0000 2016,True,False,"The UK is stronger and safer being part of the largest trading block in the world.  We must Target the Single Market, it's in the national interest.",13,252,1086,False,en,3,,Target Single Market,F5F8FA,,False,https://pbs.twimg.com/profile_banners/748146959366643712/1477958790,http://pbs.twimg.com/profile_images/793242712573091840/K6eqtEo4_normal.jpg,1DA1F2,DDEEF6,333333,False,TSingleMarket,Thu Feb 01 23:25:06 +0000 2018,"[Hashtag(Text='SingleMarket'), Hashtag(Text='Brexit'), Hashtag(Text='bbcqt')]",en,220,"It is a plain lie that we can leave the #SingleMarket and be better off, the question is how much worse off #Brexit #bbcqt",Pacific Time (US & Canada),,748146959366643712,[],False,2875501614
False,Sun Aug 06 20:01:14 +0000 2017,True,False,"Village Green Preservation society. Preserving the old ways from being abused. Protecting the new ways, for me and for you",1191,81,354,False,en,6,"Liverpool, England",Craig for UKIP Liverpool.,F5F8FA,,False,,http://pbs.twimg.com/profile_images/912195005355368448/-gHGUL73_normal.jpg,1DA1F2,DDEEF6,333333,False,ukipcraigNW,Sun Feb 04 23:36:28 +0000 2018,[],en,2814,"@PaulDBrant PM is ""prisoner"" of the referendum, Which was decided by the people. Which went the way YOU didn't like… https://t.co/VlIgyaxB9G",,,894287267988201474,"[User(ID=351962512, ScreenName=PaulDBrant)]",False,2875501614
False,Sun Aug 06 19:26:02 +0000 2017,True,False,,0,1,169,False,en,0,,Glendora Graf,F5F8FA,,False,,http://pbs.twimg.com/profile_images/894280954105167877/pcGCmJ1H_normal.jpg,1DA1F2,DDEEF6,333333,False,glendoragraf271,Sun Aug 06 19:36:21 +0000 2017,[],fr,1,Universal remote codes: Magnavox Universal Remote,,,894278409328742401,[],False,2875501614
